stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Price Per Carat,Depth %,Table %,Country,State,City,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Shade,Milky,Eye Clean,Treatment,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Comment,Key to symbols,fancy color,Fancy Color Intensity,Fancy Color Overtone,Certificate File,Diamond Video,Diamond Image,Heart Image,Arrow Image,Asset Image
KCV0175,Available,EMERALD,2.010,D,VS2,,EX,EX,N,,8.31X5.83X3.92,IGI,464110025,34133.75,67.20,58.00,India,MH,Mumbai,17.00,20.40,46.00,40.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0175,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0175,,,
KCV0457,Available,RADIANT,1.030,D,SI1,,EX,EX,N,,6.88X4.96X3.38,IGI,478126148,12678.25,68.10,61.50,India,MH,Mumbai,14.50,39.60,49.00,31.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0457,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0457,,,
KCV0569,Available,ROUND,1.130,D,VS1,ID,EX,EX,N,,6.64X6.68X4.16,IGI,480173904,26858.85,62.40,55.50,India,MH,Mumbai,15.00,33.50,43.50,41.20,,,,,,,,,NN,,H&A,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0569,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0569,,,
KCV0652,Available,ROUND,1.400,D,SI1,ID,EX,EX,N,,7.14X7.20X4.43,IGI,496117793,18577.25,61.80,57.00,India,MH,Mumbai,15.00,34.80,43.00,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0652,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0652,,,
KCV0667,Available,PRINCESS,1.730,D,VS2,,EX,EX,N,,6.52X6.37X4.56,IGI,496117919,24000.2,71.60,70.50,India,MH,Mumbai,11.00,42.10,55.50,38.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0667,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0667,,,
KCV0674,Available,RADIANT,1.530,D,SI1,,EX,EX,N,,7.64X5.62X3.86,IGI,496117921,21477.5,68.70,62.50,India,MH,Mumbai,15.00,40.00,49.50,29.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0674,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0674,,,
KCV0707,Available,CUSHION,2.050,E,SI2,,EX,EX,N,,7.63X7.34X4.80,IGI,496117887,22235.7,65.40,61.50,India,MH,Mumbai,12.50,33.40,48.00,38.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0707,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0707,,,
KCV0711,Available,RADIANT,1.560,D,SI1,,EX,EX,N,,7.88X5.75X3.63,IGI,496117891,21477.5,63.10,63.50,India,MH,Mumbai,12.50,39.80,45.50,26.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0711,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0711,,,
KCV0721,Available,RADIANT,1.520,D,VS2,,EX,EX,N,,7.82X5.65X3.70,IGI,496117896,24223.4,65.50,67.00,India,MH,Mumbai,11.50,39.50,49.00,28.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0721,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0721,,,
KCV0725,Available,CUSHION,2.010,E,SI1,,EX,EX,N,,7.34X7.27X4.71,IGI,496117898,27502.05,64.80,58.50,India,MH,Mumbai,14.50,35.50,42.50,37.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0725,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KCV0725,,,
KD0004,Available,ROUND,2.040,D,VS2,ID,EX,EX,N,,8.13X8.18X4.96,IGI,494160939,44111.25,60.80,59.00,India,MH,Mumbai,14.50,34.80,42.50,40.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0004,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0004,,,
KD0014,Available,EMERALD,2.070,D,VS2,,EX,EX,N,,8.63X6.10X4.02,IGI,496117934,34133.75,65.90,59.00,India,MH,Mumbai,14.00,25.40,47.50,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0014,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0014,,,
KD0024,Available,RADIANT,2.010,E,VS2,,EX,EX,N,,8.55X6.25X4.14,IGI,494192914,32100.75,66.20,61.50,India,MH,Mumbai,14.50,41.30,47.50,29.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0024,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0024,,,
KD0030,Available,RADIANT,2.010,D,VVS2,,EX,EX,N,,8.34X6.13X4.12,IGI,494160945,40960.5,67.20,67.00,India,MH,Mumbai,13.00,42.80,49.50,28.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0030,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0030,,,
KD0033,On Memo,RADIANT,2.030,D,VS1,,EX,EX,N,,8.45X6.17X4.24,IGI,494160947,36964.5,68.70,64.00,India,MH,Mumbai,13.50,41.60,50.50,30.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0033,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0033,,,
KD0035,Available,EMERALD,2.000,E,SI1,,EX,EX,N,,8.96X5.91X3.80,IGI,496117868,27502.05,64.30,62.00,India,MH,Mumbai,10.50,16.50,48.00,37.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0035,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0035,,,
KD0052,On Memo,PRINCESS,2.070,D,SI1,,EX,EX,N,,6.80X6.76X4.94,IGI,494192921,29301.55,73.10,71.00,India,MH,Mumbai,13.00,45.60,56.00,38.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0052,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0052,,,
KD0060,Available,ROUND,1.500,D,VS1,ID,EX,EX,N,,7.37X7.41X4.52,IGI,496118054,37445.55,61.20,58.00,India,MH,Mumbai,14.00,33.20,43.50,41.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0060,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0060,,,
KD0063,Available,RADIANT,2.010,D,VVS2,,EX,EX,N,,8.50X6.24X4.12,IGI,496199513,40960.5,66.00,62.50,India,MH,Mumbai,14.50,41.70,47.00,28.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0063,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0063,,,
KD0069,Available,ROUND,1.810,D,VS1,ID,EX,EX,N,,7.75X7.80X4.85,IGI,494192924,37344.32,62.30,55.50,India,MH,Mumbai,16.00,35.70,42.50,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0069,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0069,,,
KD0070,Available,ROUND,1.800,D,VS1,ID,EX,EX,N,,7.85X7.89X4.69,IGI,494192925,37344.32,59.60,59.50,India,MH,Mumbai,13.00,33.20,42.00,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0070,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0070,,,
KD0079,Available,ROUND,1.500,D,VS1,ID,EX,EX,N,,7.36X7.41X4.49,IGI,496117797,37445.55,60.70,58.50,India,MH,Mumbai,14.00,33.30,43.00,40.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0079,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0079,,,
KD0083,Available,ROUND,1.700,D,VS1,ID,EX,EX,N,,7.60X7.65X4.72,IGI,496118665,37445.55,61.90,58.50,India,MH,Mumbai,14.00,34.10,43.50,41.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0083,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0083,,,
KD0094,Available,EMERALD,1.820,D,SI1,,EX,EX,N,,8.01X5.69X3.84,IGI,497145527,21290.5,67.50,65.50,India,MH,Mumbai,15.50,37.00,47.50,37.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0094,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0094,,,
KD0096,Available,RADIANT,2.020,D,VS1,,EX,EX,N,,8.58X6.22X4.25,IGI,496199487,36964.5,68.30,62.50,India,MH,Mumbai,15.00,42.10,49.00,31.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0096,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0096,,,
KD0099,On Memo,OVAL,1.570,D,VS1,,EX,VG,N,,9.07X6.55X4.19,IGI,497145526,26458.8,64.00,60.00,India,MH,Mumbai,15.00,41.40,44.50,41.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0099,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0099,,,
KD0103,Available,OVAL,1.700,D,VS1,,EX,EX,N,,9.17X6.71X4.25,IGI,496199484,26390.8,63.30,61.50,India,MH,Mumbai,14.50,36.80,44.00,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0103,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0103,,,
KD0119,On Memo,RADIANT,2.000,D,VVS2,,EX,EX,N,,8.47X6.20X4.12,IGI,494192940,40960.5,66.50,66.50,India,MH,Mumbai,12.50,42.90,49.50,29.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0119,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0119,,,
KD0123,Available,RADIANT,2.010,D,VVS2,,EX,EX,N,,8.54X6.24X4.13,IGI,496199499,40960.5,66.20,62.50,India,MH,Mumbai,15.50,42.40,47.50,28.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0123,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0123,,,
KD0125,Available,RADIANT,1.570,D,VS1,,EX,EX,N,,7.76X5.68X3.87,IGI,496199498,26567.6,68.10,63.00,India,MH,Mumbai,14.00,44.00,50.00,29.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0125,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0125,,,
KD0132,Available,RADIANT,2.110,D,VS1,,EX,EX,N,,8.61X6.26X4.20,IGI,494192942,36964.5,67.10,65.00,India,MH,Mumbai,14.00,43.60,49.00,29.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0132,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0132,,,
KD0133,Available,EMERALD,1.520,E,VS1,,EX,VG,N,,7.62X5.46X3.70,IGI,496199501,24966.4,67.80,57.00,India,MH,Mumbai,16.00,26.50,47.50,39.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0133,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0133,,,
KD0138,Available,EMERALD,1.840,E,I1,,EX,VG,N,,8.14X5.87X3.90,IGI,496199500,9652.5,66.40,63.50,India,MH,Mumbai,13.00,21.10,49.50,40.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0138,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0138,,,
KD0140,Available,ROUND,1.800,D,SI1,ID,EX,EX,N,,7.72X7.77X4.83,IGI,494192945,26158.14,62.30,56.50,India,MH,Mumbai,15.50,35.70,43.00,40.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0140,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0140,,,
KD0143,Available,ROUND,2.030,D,SI2,ID,EX,EX,N,,8.15X8.17X5.00,IGI,494192947,29559.76,61.20,57.00,India,MH,Mumbai,14.00,33.20,43.50,41.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0143,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0143,,,
KD0145,Available,EMERALD,1.950,D,VS2,,EX,VG,N,,8.35X5.98X3.90,IGI,497145514,24000.2,65.20,63.00,India,MH,Mumbai,12.50,40.70,47.50,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0145,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0145,,,
KD0158,Available,CUSHION,2.010,E,VS1,,EX,EX,N,,7.60X7.51X4.53,IGI,496117836,35109,60.30,62.00,India,MH,Mumbai,13.50,35.50,43.00,36.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0158,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0158,,,
KD0165,Available,ROUND,1.410,D,VS2,ID,EX,EX,N,,7.25X7.30X4.34,IGI,494192953,23661.55,59.70,58.50,India,MH,Mumbai,13.50,33.50,42.00,40.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0165,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0165,,,
KD0172,Available,ROUND,1.400,D,VS2,EX,EX,EX,N,,7.13X7.17X4.39,IGI,496199443,23661.55,61.40,58.50,India,MH,Mumbai,15.00,36.30,42.00,40.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0172,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0172,,,
KD0174,Available,RADIANT,1.540,D,VVS2,,EX,EX,N,,7.71X5.64X3.80,IGI,497145496,29302.5,67.40,63.50,India,MH,Mumbai,11.50,29.20,51.00,29.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0174,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0174,,,
KD0175,Available,ROUND,1.500,D,VS1,EX,EX,EX,N,,7.25X7.30X4.60,IGI,496117840,37445.55,63.10,54.50,India,MH,Mumbai,17.00,36.40,42.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0175,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0175,,,
KD0179,Available,CUSHION,1.500,D,VS2,,EX,VG,N,,6.81X6.68X4.17,IGI,496117844,24186.2,62.40,61.00,India,MH,Mumbai,13.00,34.40,45.50,36.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0179,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0179,,,
KD0187,Available,ROUND,1.400,D,SI1,ID,EX,EX,N,,7.14X7.17X4.42,IGI,496121738,18577.25,61.70,55.50,India,MH,Mumbai,15.50,34.70,42.00,40.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0187,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0187,,,
KD0191,Available,EMERALD,1.500,E,VVS2,,EX,VG,N,,7.63X5.36X3.62,IGI,497145490,26526.8,67.50,65.00,India,MH,Mumbai,12.50,41.90,49.50,41.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0191,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0191,,,
KD0193,Available,ROUND,1.560,D,VS1,ID,EX,EX,N,,7.53X7.58X4.49,IGI,496199431,37445.55,59.40,58.50,India,MH,Mumbai,13.50,33.10,42.50,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0193,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0193,,,
KD0198,Available,RADIANT,1.540,D,VS1,,EX,EX,N,,7.76X5.67X3.84,IGI,496117829,26567.6,67.70,65.50,India,MH,Mumbai,12.50,40.00,51.00,30.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0198,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0198,,,
KD0200,Available,CUSHION,2.010,E,VS1,,EX,VG,N,,7.26X6.98X4.98,IGI,496117831,35109,71.30,59.50,India,MH,Mumbai,14.00,35.10,52.50,42.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0200,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0200,,,
KD0203,Available,CUSHION,1.500,D,VS2,,EX,EX,N,,6.61X6.60X4.29,IGI,496117833,24186.2,65.00,61.50,India,MH,Mumbai,12.00,32.30,48.00,37.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0203,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0203,,,
KD0209,Available,ROUND,1.400,D,SI1,EX,EX,VG,N,,7.07X7.11X4.46,IGI,496199432,18577.25,62.80,58.00,India,MH,Mumbai,15.00,35.70,43.50,41.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0209,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0209,,,
KD0210,Available,ROUND,1.320,D,VS1,ID,EX,EX,N,,7.11X7.17X4.24,IGI,496117778,26858.85,59.40,58.50,India,MH,Mumbai,13.50,33.10,42.50,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0210,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0210,,,
KD0212,Available,CUSHION,1.520,D,VS2,,EX,EX,N,,6.70X6.50X4.41,IGI,496117779,24186.2,67.80,60.00,India,MH,Mumbai,14.50,36.10,49.00,39.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0212,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0212,,,
KD0231,Available,EMERALD,1.510,D,SI1,,EX,EX,N,,7.65X5.43X3.65,IGI,497145477,21455.5,67.20,62.00,India,MH,Mumbai,15.50,38.30,48.50,38.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0231,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0231,,,
KD0232,Available,RADIANT,1.570,D,SI1,,EX,EX,N,,7.72X5.68X3.86,IGI,497145476,21477.5,68.00,64.00,India,MH,Mumbai,13.00,29.40,50.50,29.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0232,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0232,,,
KD0252,Available,EMERALD,1.510,D,VS2,,EX,VG,N,,7.58X5.34X3.62,IGI,497145468,24186.2,67.80,62.50,India,MH,Mumbai,12.50,42.30,50.50,42.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0252,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0252,,,
KD0253,Available,EMERALD,1.500,D,VVS2,,EX,VG,N,,7.60X5.35X3.68,IGI,497145467,29257.5,68.80,62.50,India,MH,Mumbai,13.00,42.00,51.00,42.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0253,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0253,,,
KD0263,Available,ROUND,1.510,D,VS1,ID,EX,EX,N,,7.32X7.36X4.56,IGI,496121719,37445.55,62.10,55.50,India,MH,Mumbai,16.00,35.30,42.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0263,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0263,,,
KD0274,Available,ROUND,1.130,D,VS2,ID,EX,EX,N,,6.64X6.68X4.14,IGI,496199516,23722.05,62.10,56.00,India,MH,Mumbai,15.50,35.70,42.50,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0274,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0274,,,
KD0290,Available,ROUND,1.360,D,SI2,ID,EX,EX,N,,7.14X7.17X4.35,IGI,496117822,15095.85,60.80,58.50,India,MH,Mumbai,13.50,33.50,43.50,41.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0290,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0290,,,
KD0297,Available,PRINCESS,2.150,D,VS1,,EX,EX,N,,6.92X6.90X4.90,IGI,496199523,36869.5,71.00,70.00,India,MH,Mumbai,11.50,44.90,55.00,37.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0297,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0297,,,
KD0299,Available,ROUND,2.820,D,VS2,ID,EX,EX,N,,8.99X9.04X5.59,IGI,494192955,43548.75,62.00,59.00,India,MH,Mumbai,14.50,35.00,43.50,41.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0299,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0299,,,
KD0307,On Memo,OVAL,2.010,D,VVS2,,EX,EX,N,,9.74X7.09X4.55,IGI,496121726,40952.1,64.20,58.50,India,MH,Mumbai,15.50,37.00,43.50,40.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0307,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0307,,,
KD0309,Available,OVAL,2.180,E,VVS2,,EX,VG,N,,10.29X7.27X4.65,IGI,497145553,37976.25,64.00,58.00,India,MH,Mumbai,14.50,41.20,45.00,41.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0309,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0309,,,
KD0312,Available,OVAL,2.070,D,VVS1,,EX,EX,N,,10.15X7.36X4.46,IGI,497145551,45719.25,60.6,57.00,India,MH,Mumbai,15.00,39.50,41.50,39.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0312,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0312,,,
KD0314,Available,OVAL,2.040,D,VS1,,EX,VG,N,,9.85X7.21X4.57,IGI,496121664,37051.9,63.40,58.50,India,MH,Mumbai,14.50,34.60,45.50,40.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0314,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0314,,,
KD0401,Available,PEAR,1.810,E,VS1,,EX,EX,N,,10.70X6.77X4.24,IGI,514290925,24582.4,62.60,60.50,India,MH,Mumbai,14.50,36.60,43.50,39.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0401,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0401,,,
KD0402,Available,OVAL,2.510,D,VS2,,EX,EX,N,,11.02X7.75X4.67,IGI,512228687,33783.75,60.30,59.50,India,MH,Mumbai,12.50,32.00,43.00,40.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0402,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0402,,,
KD0403,Available,OVAL,2.760,D,VS1,,EX,EX,N,,11.09X7.89X4.89,IGI,510187059,36632,62.00,59.00,India,MH,Mumbai,15.00,36.50,42.00,39.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0403,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0403,,,
KD0405,Available,OVAL,2.580,D,VS2,,EX,EX,N,,10.92X7.79X4.83,IGI,510191310,33783.75,62.00,60.00,India,MH,Mumbai,13.00,33.40,45.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0405,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0405,,,
KD0406,Available,OVAL,2.710,D,VS1,,EX,EX,N,,10.87X7.78X4.98,IGI,512228688,36632,64.00,60.00,India,MH,Mumbai,14.50,36.00,44.50,40.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0406,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0406,,,
KD0407,Available,OVAL,2.730,D,VVS2,,EX,EX,N,,10.86X7.75X4.98,IGI,510191311,40540.5,64.30,61.50,India,MH,Mumbai,14.00,36.50,44.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0407,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0407,,,
KD0408,Available,OVAL,2.100,D,VVS2,,EX,EX,N,,10.20X7.27X4.50,IGI,512228689,40897.5,61.90,59.50,India,MH,Mumbai,14.50,36.40,43.00,40.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0408,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0408,,,
KD0409,Available,OVAL,2.500,D,VS1,,EX,EX,N,,10.48X7.64X4.90,IGI,510187058,36774.5,64.10,56.00,India,MH,Mumbai,16.00,36.30,44.00,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0409,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0409,,,
KD0410,Available,OVAL,2.700,D,VVS2,,EX,EX,N,,10.88X7.78X4.88,IGI,512228691,40540.5,62.70,60.00,India,MH,Mumbai,15.00,36.60,43.50,40.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0410,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KD0410,,,
