stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Price Per Carat,Depth %,Table %,Country,State,City,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Shade,Milky,Eye Clean,Treatment,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Comment,Key to symbols,fancy color,Fancy Color Intensity,Fancy Color Overtone,Certificate File,Diamond Video,Diamond Image,Heart Image,Arrow Image,Asset Image
KKV1049,Available,ROUND,2.210,E,VS2,ID,EX,EX,,,8.41X8.46X5.11,IGI,519232092,41170.5,60.6,55.50,India,MH,Mumbai,14.50,33.10,42.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1049,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1049,,,
KKV1050,Available,OVAL,1.800,D,VS2,,EX,EX,N,,9.73X6.95X4.24,IGI,517224668,23938.2,61,58.00,India,MH,Mumbai,14.00,34.40,43.50,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1050,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1050,,,
KKV1051,Available,ROUND,2.100,D,VS1,ID,EX,EX,N,,8.20X8.24X5.12,IGI,517290032,50973,62.2,55.50,India,MH,Mumbai,16.00,35.90,43.00,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1051,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1051,,,
KKV1055,Available,OVAL,2.010,E,SI1,,EX,EX,,,9.93X7.30X4.58,IGI,519232094,27361.05,62.7,58.50,India,MH,Mumbai,14.50,35.40,44.00,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1055,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1055,,,
KKV1059,Available,OVAL,1.590,E,VS2,,EX,EX,N,,9.57X6.52X4.11,IGI,520273421,22956.9,63,58.00,India,MH,Mumbai,14.00,33.80,45.00,41.00,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1059,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1059,,,
KKV1060,Available,OVAL,1.950,E,VVS2,,EX,EX,N,,9.95X7.07X4.42,IGI,517224666,26322.8,62.5,62.00,India,MH,Mumbai,13.50,35.20,44.50,40.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1060,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1060,,,
KKV1062,Available,ROUND,2.030,D,VS1,EX,EX,EX,N,,8.30X8.36X4.86,IGI,519239227,50973,58.3,59.50,India,MH,Mumbai,13.00,33.10,42.00,40.20,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1062,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1062,,,
KKV1063,Available,EMERALD,2.000,D,VS1,,EX,EX,N,,8.39X5.95X3.99,IGI,520285725,37059.5,67.1,66.50,India,MH,Mumbai,13.00,24.10,49.50,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1063,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1063,,,
KKV1065,Available,RADIANT,2.020,E,VS1,,EX,EX,N,,8.62X6.34X4.33,IGI,520285726,35019,68.3,67.00,India,MH,Mumbai,13.50,42.10,51.50,33.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1065,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1065,,,
KKV1066,Available,EMERALD,2.150,E,SI1,,EX,EX,N,,8.66X6.09X4.11,IGI,522222480,27502.05,67.5,64.50,India,MH,Mumbai,14.00,22.50,49.50,40.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1066,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1066,,,
KKV1067,Available,OVAL,1.890,E,VVS2,,EX,EX,,,9.53X7.01X4.50,IGI,519232096,26322.8,64.2,57.00,India,MH,Mumbai,15.00,35.20,43.50,40.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1067,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1067,,,
KKV1068,Available,ROUND,2.380,D,SI1,ID,EX,EX,,,8.47X8.52X5.30,IGI,519232097,36269.25,62.3,59.50,India,MH,Mumbai,14.50,35.80,43.50,41.10,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1068,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1068,,,
KKV1069,Available,OVAL,1.880,D,VS2,,EX,EX,,,9.85X7.03X4.36,IGI,519232098,23938.2,62,58.00,India,MH,Mumbai,14.00,33.70,44.00,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1069,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1069,,,
KKV1071,Available,OVAL,2.160,D,VS1,,EX,EX,,,10.41X7.44X4.62,IGI,519232100,37002.5,62.1,58.50,India,MH,Mumbai,14.00,33.60,44.50,40.80,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1071,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1071,,,
