"SKU","Shape","Carat","Color","Clarity","Cut","Polish","Symmetry","Fluorescence","Lab","Certificate No","Certificate URL","Price","Price Per Carat","depth Percentage","table Percentage","length","width","depth","image","video","CrownAngle","CrownHeight","PavilionAngle","PavilionDepth","eyeclean"
"7449","SQUARE RADIANT","0.70","G","VS1","","EX","VG","MED","GIA","2427300955","","2018.04","2882.92","69.3","65","4.76","4.88","3.3","","https://www.pkstone.co.in/dv.aspx?vstr=664415101","","","","","Yes"
"7457","CUSHION MODIFIED","0.70","E","VVS2","","EX","EX","MED","GIA","2427686241","","1784.71","2549.58","68.5","62","4.86","5.09","3.33","","https://www.pkstone.co.in/dv.aspx?vstr=664414801","","","","","Yes"
"7458","CUSHION MODIFIED","0.70","E","VS2","","VG","GD","STG","GIA","3425526032","","1590.07","2271.53","70.9","64","4.74","4.99","3.36","","https://www.pkstone.co.in/dv.aspx?vstr=663709201","","","","",""
"7466","CUSHION MODIFIED","0.70","D","VVS2","","EX","VG","MED","GIA","2427700634","","1813.01","2590.02","70.3","62","4.57","5.54","3.21","","https://www.pkstone.co.in/dv.aspx?vstr=664418301","","","","","Yes"
"7467","CUSHION MODIFIED","0.70","D","VS2","","EX","EX","MED","GIA","1425865833","","1582.81","2261.16","69.1","59","4.86","4.94","3.36","","https://www.pkstone.co.in/dv.aspx?vstr=664420001","","","","",""
"7489","CUSHION MODIFIED","0.70","F","VS1","","EX","VG","NON","GIA","1427765504","","1753.48","2504.97","69.5","62","4.8","4.93","3.34","","https://www.pkstone.co.in/dv.aspx?vstr=664422601","","","","","Yes"
"7498","SQUARE RADIANT","0.79","F","VS1","","EX","EX","NON","GIA","2424525679","","2586.96","3274.63","69.3","64","4.99","5.07","3.46","","https://www.pkstone.co.in/dv.aspx?vstr=664408401","","","","","Yes"
"7502","SQUARE RADIANT","0.70","D","VS1","","EX","EX","FNT","GIA","2427441120","","2350.77","3358.24","69","62","4.79","4.92","3.3","","https://www.pkstone.co.in/dv.aspx?vstr=664417701","","","","","Yes"
"7560","CUSHION MODIFIED","0.70","E","VVS1","","EX","VG","FNT","GIA","1427911280","","2257.46","3224.94","68.7","61","4.89","5.05","3.36","","https://www.pkstone.co.in/dv.aspx?vstr=664414201","","","","","Yes"
"7596","SQUARE RADIANT","0.70","F","VS1","","EX","VG","NON","GIA","2427566418","","2185.18","3121.69","69.1","65","4.75","4.93","3.28","","https://www.pkstone.co.in/dv.aspx?vstr=664413501","","","","","Yes"
"7601","CUSHION MODIFIED","0.70","D","IF","","EX","VG","FNT","GIA","7421765509","","2258.18","3225.97","71.4","57","4.55","5.38","3.25","","https://www.pkstone.co.in/dv.aspx?vstr=664422201","","","","","Yes"
"7606","CUSHION MODIFIED","0.70","G","VVS2","","EX","EX","NON","GIA","5423856313","","1882.56","2689.38","69.6","59","4.85","4.97","3.38","","https://www.pkstone.co.in/dv.aspx?vstr=664513001","","","","","Yes"
"7725","SQUARE RADIANT","0.72","G","VVS1","","EX","EX","NON","GIA","1429633939","","2158.71","2998.2","68.5","65","4.9","4.97","3.36","","https://www.pkstone.co.in/dv.aspx?vstr=664504801","","","","","Yes"
"7789","CUSHION MODIFIED","0.70","F","IF","","EX","EX","NON","GIA","7421857409","","2032.53","2903.62","69.1","59","4.9","5.06","3.38","","https://www.pkstone.co.in/dv.aspx?vstr=664905301","","","","","Yes"
"7871","CUSHION MODIFIED","0.70","G","VVS2","","EX","VG","FNT","GIA","7421815941","","1816.63","2595.19","70.4","61","4.66","5.56","3.28","","https://www.pkstone.co.in/dv.aspx?vstr=664512001","","","","","Yes"
"7912","CUSHION MODIFIED","0.70","H","VS2","","EX","VG","NON","GIA","1423856373","","1465.78","2093.97","71.4","61","4.73","5.05","3.38","","https://www.pkstone.co.in/dv.aspx?vstr=664512701","","","","",""
"8559","CUSHION MODIFIED","0.30","E","I1","","VG","VG","NON","GIA","7431259324","","336.44","1121.47","69.3","57","3.7","3.88","2.57","","https://www.pkstone.co.in/dv.aspx?vstr=222909801","","","","",""
"8561","CUSHION MODIFIED","0.40","D","IF","","EX","VG","NON","GIA","6432212631","","820.47","2051.18","68.6","60","4.14","4.15","2.84","","https://www.pkstone.co.in/dv.aspx?vstr=222914401","","","","","Yes"
"8640","CUSHION MODIFIED","0.73","UV","IF","","EX","VG","NON","GIA","2436258336","","812.15","1112.53","68.4","60","4.77","4.98","3.26","","https://www.pkstone.co.in/dv.aspx?vstr=666902801","","","","","Yes"
"8650","CUSHION MODIFIED","0.70","ST","VS1","","EX","VG","FNT","GIA","6435235935","","669.17","955.95","71.2","58","4.76","4.99","3.39","","https://www.pkstone.co.in/dv.aspx?vstr=667101501","","","","","Yes"
"8825","CUSHION MODIFIED","0.50","ST","VS1","","EX","VG","MED","GIA","1439316210","","421.47","842.95","69.1","62","4.32","4.56","2.99","","https://www.pkstone.co.in/dv.aspx?vstr=667105801","","","","","Yes"
"8833","CUSHION MODIFIED","0.50","D","SI1","","EX","EX","NON","GIA","7432361572","","689.33","1378.65","69.2","59","4.31","4.52","2.98","","https://www.pkstone.co.in/dv.aspx?vstr=667207301","","","","",""
"8857","CUSHION MODIFIED","0.71","F","VVS2","","EX","EX","MED","GIA","1435346281","","1822.52","2566.93","69.1","61","4.89","5","3.38","","https://www.pkstone.co.in/dv.aspx?vstr=666706601","","","","","Yes"
"8902","SQUARE RADIANT","0.50","D","SI2","","EX","EX","NON","GIA","6431544533","","870.98","1741.95","69.1","65","4.3","4.3","2.97","","https://www.pkstone.co.in/dv.aspx?vstr=666603101","","","","",""
"8952","TRIANGLE","0.59","J","SI2","","VG","GD","FNT","GIA","2396833788","","458.38","776.92","30.4","68","7","6.55","2.13","","","","","","",""
"8961","CUSHION MODIFIED","0.70","G","VS2","","VG","FR","STG","GIA","1358343323","","1270.93","1815.61","70.9","59","4.71","5.21","3.34","","https://www.pkstone.co.in/dv.aspx?vstr=P18212535","","","","",""
"8963","CUSHION MODIFIED","0.70","YZ","SI2","","EX","VG","FNT","GIA","6391303309","","539.81","771.15","69.4","57","4.62","5.21","3.2","","https://www.pkstone.co.in/dv.aspx?vstr=L421001501","","","","",""
"8971","CUSHION MODIFIED","0.72","UV","VS2","","EX","EX","FNT","GIA","2397928007","","529.83","735.87","68.5","58","4.8","4.84","3.29","","https://www.pkstone.co.in/dv.aspx?vstr=L421001301","","","","",""
"8974","CUSHION MODIFIED","0.70","UV","VS1","","EX","EX","FNT","GIA","5396626015","","544.22","777.45","70.1","56","4.53","5.32","3.18","","https://www.pkstone.co.in/dv.aspx?vstr=L419016401","","","","","Yes"
"9052","CUSHION MODIFIED","0.50","J","IF","","EX","VG","MED","GIA","6402466918","","563.85","1127.7","69.1","63","4.32","4.63","2.99","","https://www.pkstone.co.in/dv.aspx?vstr=L453011501","","","","","Yes"
"9088","CUSHION MODIFIED","0.50","I","VVS2","","EX","VG","MED","GIA","6405106872","","606.38","1212.75","71","63","4.14","4.83","2.94","","https://www.pkstone.co.in/dv.aspx?vstr=L453017001","","","","","Yes"
"9102","CUSHION MODIFIED","0.50","I","VVS2","","EX","VG","NON","GIA","2407596401","","634.2","1268.4","70.6","58","4.12","4.74","2.9","","https://www.pkstone.co.in/dv.aspx?vstr=L456013501","","","","","Yes"
"9113","CUSHION MODIFIED","0.50","I","VVS1","","EX","EX","MED","GIA","7401828409","","645.23","1290.45","69","61","4.31","4.58","2.97","","https://www.pkstone.co.in/dv.aspx?vstr=L457008601","","","","","Yes"
"9193","CUSHION MODIFIED","0.70","F","VS1","","EX","VG","FNT","GIA","1409879916","","1622.03","2317.18","70.5","60","4.64","5.41","3.27","","https://www.pkstone.co.in/dv.aspx?vstr=L465009801","","","","","Yes"
"9417","CUSHION MODIFIED","0.50","I","VVS2","","VG","VG","NON","GIA","1419500990","","666.23","1332.45","70.3","61","4.32","4.33","3.04","","https://www.pkstone.co.in/dv.aspx?vstr=L482035701","","","","","Yes"
"9421","CUSHION MODIFIED","0.70","I","VS1","","EX","VG","MED","GIA","6412644712","","1104.15","1577.35","69.3","61","4.81","5.1","3.33","","https://www.pkstone.co.in/dv.aspx?vstr=L475010701","","","","","Yes"
"9729","CUSHION MODIFIED","0.50","D","VS1","","EX","VG","NON","GIA","1428150962","","896.18","1792.35","72","57","4.1","4.71","2.95","","https://www.pkstone.co.in/dv.aspx?vstr=L487003201","","","","","Yes"
"9924","CUSHION MODIFIED","0.70","G","VVS2","","EX","EX","FNT","GIA","6421057517","","1662.7","2375.28","69.3","61","4.82","5.05","3.34","","https://www.pkstone.co.in/dv.aspx?vstr=L492012701","","","","","Yes"
"10006","CUSHION MODIFIED","0.80","WX","VS2","","EX","VG","FNT","GIA","1428057449","","828.87","1036.09","68.2","56","5.02","5.04","3.42","","https://www.pkstone.co.in/dv.aspx?vstr=L497004801","","","","",""
"10046","CUSHION MODIFIED","0.82","WX","SI1","","EX","VG","NON","GIA","2424526354","","859.53","1048.2","68.8","59","4.81","5.53","3.31","","https://www.pkstone.co.in/dv.aspx?vstr=L497004001","","","","",""
"10155","CUSHION MODIFIED","0.77","WX","VVS2","","EX","EX","FNT","GIA","7422649974","","997.27","1295.15","69.1","58","4.93","4.95","3.41","","https://www.pkstone.co.in/dv.aspx?vstr=L497003801","","","","","Yes"
"10157","CUSHION MODIFIED","0.80","WX","VVS1","","EX","VG","NON","GIA","1427407532","","1003.59","1254.49","68.7","56","5","5.03","3.43","","https://www.pkstone.co.in/dv.aspx?vstr=L497005301","","","","","Yes"
"10160","CUSHION MODIFIED","0.78","ST","VS2","","EX","EX","MED","GIA","7422349087","","910.1","1166.79","68.7","60","5.05","5.22","3.47","","https://www.pkstone.co.in/dv.aspx?vstr=L497005901","","","","",""
"10331","CUSHION MODIFIED","0.70","WX","SI1","","EX","VG","NON","GIA","6422305102","","636.09","908.7","69","56","4.7","4.97","3.24","","https://www.pkstone.co.in/dv.aspx?vstr=L497006601","","","","",""
"10333","CUSHION MODIFIED","0.70","UV","VVS2","","EX","VG","NON","GIA","7423375548","","747.08","1067.25","69.7","55","4.57","5.21","3.18","","https://www.pkstone.co.in/dv.aspx?vstr=L497009701","","","","","Yes"
"10443","CUSHION MODIFIED","0.62","YZ","VS1","","EX","VG","FNT","GIA","1427566183","","631.59","1018.7","68.1","56","4.58","4.61","3.12","","https://www.pkstone.co.in/dv.aspx?vstr=L497008401","","","","","Yes"
"10445","CUSHION MODIFIED","0.70","UV","SI1","","EX","VG","NON","GIA","2428676482","","718.41","1026.3","69.3","56","4.51","5.4","3.13","","https://www.pkstone.co.in/dv.aspx?vstr=L497009101","","","","",""
"10448","CUSHION MODIFIED","0.70","YZ","VS1","","EX","VG","FNT","GIA","7422306281","","713.27","1018.95","68.8","56","4.68","4.96","3.22","","https://www.pkstone.co.in/dv.aspx?vstr=L497010301","","","","","Yes"
"10654","CUSHION MODIFIED","0.41","F","VVS1","","EX","EX","MED","GIA","6432569727","","628.78","1533.62","68.6","58","4.1","4.19","2.81","","https://www.pkstone.co.in/dv.aspx?vstr=667207401","","","","","Yes"
"10770","CUSHION MODIFIED","0.50","D","VS2","","VG","VG","FNT","GIA","5433544583","","816.9","1633.8","72.5","59","4.28","4.34","3.1","","https://www.pkstone.co.in/dv.aspx?vstr=667303501","","","","",""
"10794","CUSHION MODIFIED","0.50","D","SI1","","EX","VG","STG","GIA","1435569712","","695.1","1390.2","68.9","59","4.35","4.51","3","","https://www.pkstone.co.in/dv.aspx?vstr=668216401","","","","",""
"10847","CUSHION MODIFIED","0.70","UV","VVS1","","EX","EX","FNT","GIA","6421653693","","908.04","1297.2","69.1","56","4.76","4.77","3.29","","https://www.pkstone.co.in/dv.aspx?vstr=L497011801","","","","","Yes"
"10849","SQUARE RADIANT","0.70","ST","VVS2","","EX","EX","FNT","GIA","1429474851","","902.9","1289.85","68.4","61","4.7","4.83","3.22","","https://www.pkstone.co.in/dv.aspx?vstr=L497012301","","","","","Yes"
"10899","CUSHION MODIFIED","0.54","UV","SI1","","EX","VG","FNT","GIA","6422617680","","388.98","720.33","69.1","57","4.32","4.54","2.99","","https://www.pkstone.co.in/dv.aspx?vstr=L502018301","","","","",""
"11037","CUSHION MODIFIED","0.81","WX","VVS2","","EX","VG","NON","GIA","7426649214","","927.49","1145.05","67.8","56","5","5.12","3.39","","https://www.pkstone.co.in/dv.aspx?vstr=L497001701","","","","","Yes"
"11038","CUSHION MODIFIED","0.72","UV","VVS1","","EX","VG","NON","GIA","5426700746","","953.19","1323.87","68.7","57","4.73","4.99","3.25","","https://www.pkstone.co.in/dv.aspx?vstr=L497006901","","","","","Yes"
"11118","CUSHION MODIFIED","0.72","WX","SI1","","EX","VG","FNT","GIA","7423633931","","738.48","1025.67","68.9","57","4.81","4.84","3.31","","https://www.pkstone.co.in/dv.aspx?vstr=L497009401","","","","",""
"11119","CUSHION MODIFIED","0.65","WX","VS2","","EX","VG","MED","GIA","1427653737","","612.26","941.93","68.9","60","4.55","4.84","3.14","","https://www.pkstone.co.in/dv.aspx?vstr=L497011501","","","","",""
"11256","CUSHION MODIFIED","0.70","J","IF","","EX","VG","MED","GIA","6422566209","","1392.98","1989.97","71.6","63","4.5","5.39","3.22","","https://www.pkstone.co.in/dv.aspx?vstr=L505006101","","","","","Yes"
"11337","SQUARE RADIANT","0.70","G","VS1","","EX","EX","MED","GIA","2426366179","","2217.71","3168.15","69.2","64","4.77","4.91","3.3","","https://www.pkstone.co.in/dv.aspx?vstr=L504004201","","","","","Yes"
"11402","CUSHION MODIFIED","0.50","WX","VS1","","EX","EX","NON","GIA","5426616751","","492.16","984.32","69.9","57","4.2","4.31","2.93","","https://www.pkstone.co.in/dv.aspx?vstr=L502016901","","","","","Yes"
"11488","CUSHION MODIFIED","0.70","G","SI1","","EX","VG","NON","GIA","1425870113","","1289.22","1841.74","70.2","58","4.76","5.11","3.34","","https://www.pkstone.co.in/dv.aspx?vstr=L508013101","","","","",""
"11876","CUSHION MODIFIED","0.70","YZ","VS2","","VG","GD","NON","GIA","2427748388","","719.88","1028.4","70.6","57","4.55","5.26","3.21","","https://www.pkstone.co.in/dv.aspx?vstr=L497011901","","","","",""
"11927","CUSHION MODIFIED","0.70","D","SI2","","EX","EX","MED","GIA","6422764275","","1338.38","1911.97","68.9","62","4.9","5.08","3.37","","https://www.pkstone.co.in/dv.aspx?vstr=L508007401","","","","",""
"12779","CUSHION MODIFIED","0.56","YZ","VVS2","","EX","VG","NON","GIA","2436289423","","629.62","1124.33","68.6","56","4.4","4.5","3.02","","https://www.pkstone.co.in/dv.aspx?vstr=667102301","","","","","Yes"
