"SKU","Shape","Carat","Color","Clarity","Cut","Polish","Symmetry","Fluorescence","Lab","Certificate No","Certificate URL","Price","Price Per Carat","depth Percentage","table Percentage","length","width","depth","image","video","CrownAngle","CrownHeight","PavilionAngle","PavilionDepth","eyeclean"
"4397","CUSHION MODIFIED","0.71","YZ","IF","","EX","VG","NON","GIA","1385987212","","879.79","1239.14","68.3","57","4.77","4.89","3.26","","https://www.pkstone.co.in/dv.aspx?vstr=218304101","","","","","Yes"
"4409","CUSHION MODIFIED","0.70","YZ","SI1","","EX","EX","NON","GIA","3395125070","","749.28","1070.4","68.5","57","4.78","4.81","3.28","","https://www.pkstone.co.in/dv.aspx?vstr=218305801","","","","",""
"4471","CUSHION MODIFIED","0.52","UV","VS2","","EX","VG","NON","GIA","2397205333","","383.94","738.34","68","57","4.28","4.47","2.91","","https://www.pkstone.co.in/dv.aspx?vstr=218606201","","","","",""
"4691","CUSHION MODIFIED","0.70","E","VVS2","","EX","EX","MED","GIA","6405849758","","1749.85","2499.78","71.7","60","4.83","4.86","3.46","","https://www.pkstone.co.in/dv.aspx?vstr=653020201","","","","","Yes"
"4737","CUSHION MODIFIED","0.70","D","VVS2","","EX","VG","MED","GIA","1403409568","","1619.85","2314.07","70.6","65","4.62","5.24","3.26","","https://www.pkstone.co.in/dv.aspx?vstr=653019401","","","","","Yes"
"5394","CUSHION MODIFIED","0.80","UV","VS2","","EX","VG","FNT","GIA","6412532643","","896.07","1120.09","68.9","57","4.89","5.19","3.37","","https://www.pkstone.co.in/dv.aspx?vstr=658402801","","","","",""
"5649","CUSHION MODIFIED","0.70","D","VVS2","","EX","EX","STG","GIA","6415531860","","1640.91","2344.16","71.3","59","4.86","4.96","3.47","","https://www.pkstone.co.in/dv.aspx?vstr=659109001","","","","","Yes"
"5809","CUSHION MODIFIED","0.70","D","VVS2","","EX","VG","MED","GIA","6411604560","","1792.7","2561","71.5","62","4.77","4.82","3.41","","https://www.pkstone.co.in/dv.aspx?vstr=659021401","","","","","Yes"
"5813","CUSHION MODIFIED","0.70","E","VVS1","","EX","VG","NON","GIA","6415681802","","2300.1","3285.86","69","59","4.81","5.18","3.32","","https://www.pkstone.co.in/dv.aspx?vstr=659011701","","","","","Yes"
"5945","CUSHION MODIFIED","0.70","D","VS1","","EX","VG","STG","GIA","1419809801","","1590.07","2271.53","71.1","64","4.67","5.23","3.32","","https://www.pkstone.co.in/dv.aspx?vstr=659111701","","","","","Yes"
"6079","CUSHION MODIFIED","0.70","E","VVS2","","EX","EX","STG","GIA","1413883149","","1651.8","2359.72","69.1","59","4.88","5.05","3.37","","https://www.pkstone.co.in/dv.aspx?vstr=659107401","","","","","Yes"
"6551","CUSHION MODIFIED","0.71","G","VS2","","EX","EX","FNT","GIA","1417862898","","1765.05","2485.98","69","63","4.83","5.13","3.33","","https://www.pkstone.co.in/dv.aspx?vstr=662709401","","","","",""
"6603","CUSHION MODIFIED","0.70","J","VVS2","","EX","VG","FNT","GIA","7411984711","","1189","1698.57","69.1","60","4.87","5.08","3.36","","https://www.pkstone.co.in/dv.aspx?vstr=662712001","","","","","Yes"
"6651","CUSHION MODIFIED","0.73","YZ","SI1","","EX","VG","FNT","GIA","5426301751","","655.01","897.28","64.2","59","4.88","5.17","3.14","","https://www.pkstone.co.in/dv.aspx?vstr=221800201","","","","",""
"7057","CUSHION MODIFIED","0.70","WX","VS1","","EX","VG","NON","GIA","6422039417","","687.54","982.2","69","57","4.69","4.92","3.24","","https://www.pkstone.co.in/dv.aspx?vstr=221908701","","","","","Yes"
"7080","CUSHION MODIFIED","0.90","D","VS1","","EX","VG","STG","GIA","2426319679","","2629.68","2921.87","69.5","62","5.22","5.41","3.62","","https://www.pkstone.co.in/dv.aspx?vstr=663702201","","","","","Yes"
"7192","CUSHION MODIFIED","0.90","D","VVS2","","EX","EX","STG","GIA","6425442394","","2870.99","3189.99","71.5","60","5.18","5.37","3.7","","https://www.pkstone.co.in/dv.aspx?vstr=663704501","","","","","Yes"
"7213","CUSHION MODIFIED","0.51","WX","VVS1","","EX","VG","FNT","GIA","1428594115","","468.86","919.34","68.6","55","4.25","4.49","2.91","","https://www.pkstone.co.in/dv.aspx?vstr=222102001","","","","","Yes"
"7260","CUSHION MODIFIED","0.70","UV","VS1","","EX","EX","NON","GIA","1428716844","","740.46","1057.8","69","56","4.57","5.28","3.15","","https://www.pkstone.co.in/dv.aspx?vstr=222200301","","","","","Yes"
"7261","CUSHION MODIFIED","0.66","YZ","VS2","","EX","VG","MED","GIA","1423440039","","568.07","860.72","69.1","57","4.46","5.13","3.08","","https://www.pkstone.co.in/dv.aspx?vstr=222201001","","","","",""
"7286","CUSHION MODIFIED","0.55","UV","VS2","","EX","VG","FNT","GIA","3425686246","","449.27","816.85","68.3","57","4.35","4.6","2.97","","https://www.pkstone.co.in/dv.aspx?vstr=222100301","","","","",""
"7287","CUSHION MODIFIED","0.57","YZ","VVS1","","EX","EX","NON","GIA","6425700373","","633.4","1111.24","67.8","57","4.43","4.69","3","","https://www.pkstone.co.in/dv.aspx?vstr=222100801","","","","","Yes"
"7290","CUSHION MODIFIED","0.55","UV","VS2","","EX","VG","NON","GIA","1429811869","","455.07","827.4","68.8","60","4.34","4.56","2.99","","https://www.pkstone.co.in/dv.aspx?vstr=222201501","","","","",""
"7294","CUSHION MODIFIED","0.42","WX","VVS2","","EX","VG","NON","GIA","1425763079","","355.24","845.8","68.5","54","3.99","4.22","2.74","","https://www.pkstone.co.in/dv.aspx?vstr=222204401","","","","","Yes"
"7325","CUSHION MODIFIED","0.50","YZ","VS1","","EX","VG","FNT","GIA","2427686249","","549.15","1098.3","70.9","57","4.04","4.65","2.86","","https://www.pkstone.co.in/dv.aspx?vstr=222206301","","","","","Yes"
"7326","CUSHION MODIFIED","0.50","WX","IF","","EX","VG","NON","GIA","2426636745","","534.98","1069.95","69.2","57","4.26","4.27","2.95","","https://www.pkstone.co.in/dv.aspx?vstr=222207001","","","","","Yes"
"7348","CUSHION MODIFIED","0.58","WX","SI1","","EX","VG","FNT","GIA","1425700212","","438.65","756.29","69.1","57","4.42","4.65","3.06","","https://www.pkstone.co.in/dv.aspx?vstr=222200901","","","","",""
"7372","CUSHION MODIFIED","0.50","YZ","VS2","","EX","VG","FNT","GIA","2427686284","","481.61","963.22","71.4","56","4.21","4.22","3","","https://www.pkstone.co.in/dv.aspx?vstr=222205601","","","","",""
"7373","CUSHION MODIFIED","0.50","UV","VS2","","EX","VG","FNT","GIA","7421686234","","409.34","818.68","69","59","4.24","4.31","2.92","","https://www.pkstone.co.in/dv.aspx?vstr=222206601","","","","",""
"7374","CUSHION MODIFIED","0.46","WX","VS2","","EX","VG","FNT","GIA","2424804053","","384.65","836.2","68.3","56","4.17","4.19","2.85","","https://www.pkstone.co.in/dv.aspx?vstr=222206701","","","","",""
"7386","CUSHION MODIFIED","0.51","YZ","SI1","","EX","VG","FNT","GIA","6425737182","","385.46","755.81","68.9","56","4.31","4.32","2.97","","https://www.pkstone.co.in/dv.aspx?vstr=222204101","","","","",""
"7397","CUSHION MODIFIED","0.50","YZ","SI2","","EX","VG","FNT","GIA","6422811618","","368.2","736.39","70.6","57","4.15","4.41","2.93","","https://www.pkstone.co.in/dv.aspx?vstr=222103801","","","","",""
"7399","CUSHION MODIFIED","0.50","WX","VVS2","","VG","VG","NON","GIA","6422741454","","487.94","975.88","68","55","4.27","4.29","2.9","","https://www.pkstone.co.in/dv.aspx?vstr=222206201","","","","","Yes"
"7407","CUSHION MODIFIED","0.42","WX","VVS1","","EX","VG","FNT","GIA","6422765490","","362.33","862.68","68.5","57","3.99","4.16","2.73","","https://www.pkstone.co.in/dv.aspx?vstr=222204901","","","","","Yes"
"7443","SQUARE RADIANT","0.74","D","VS1","","EX","EX","MED","GIA","7426350403","","2164.76","2925.35","68.8","65","4.99","5.03","3.43","","https://www.pkstone.co.in/dv.aspx?vstr=664406601","","","","","Yes"
